Player,Role,Amount,Team,Year,Player_Origin,Amount_Cr,Count,Repeated
Aaron Finch,Batsman,40000000,Sunrisers Hyderabad,2014,Overseas,4.0,5,True
Aaron Finch,Batsman,32000000,Mumbai Indians,2015,Overseas,3.2,5,True
Aaron Finch,Batsman,10000000,Gujarat Lions,2016,Overseas,1.0,5,True
Aaron Finch,Batsman,62000000,Kings XI Punjab,2018,Overseas,6.2,5,True
Aaron Finch,Batsman,44000000,Royal Challengers Bangalore,2020,Overseas,4.4,5,True
Abdul Samad,All-Rounder,2000000,Sunrisers Hyderabad,2020,Indian,0.2,1,False
Abhijeet Tomar,Batsman,4000000,Kolkata Knight Riders,2022,Indian,0.4,1,False
Abhimanyu Mithun,Bowler,3000000,Mumbai Indians,2015,Indian,0.3,2,True
Abhimanyu Mithun,Bowler,3000000,Sunrisers Hyderabad,2016,Indian,0.3,2,True
Abhinav Sadarangani,Batsman,26000000,Gujarat Titans,2022,Indian,2.6,1,False
Abhishek Nayar,All-Rounder,50625000,Pune Warriors India,2013,Indian,5.0625,2,True
Abhishek Nayar,All-Rounder,10000000,Rajasthan Royals,2014,Indian,1.0,2,True
Abhishek Sharma,All-Rounder,5500000,Delhi Daredevils,2018,Indian,0.55,2,True
Abhishek Sharma,All-Rounder,65000000,Sunrisers Hyderabad,2022,Indian,6.5,2,True
Abu Nechim Ahmed,Bowler,3000000,Royal Challengers Bangalore,2014,Indian,0.3,1,False
Adam Milne,Bowler,7000000,Royal Challengers Bangalore,2015,Overseas,0.7,3,True
Adam Milne,Bowler,32000000,Mumbai Indians,2021,Overseas,3.2,3,True
Adam Milne,Bowler,19000000,Chennai Super Kings,2022,Overseas,1.9,3,True
Adam Zampa,Bowler,3000000,Rising Pune Supergiant,2016,Overseas,0.3,1,False
Aditya Garhwal,All-Rounder,2500000,Kolkata Knight Riders,2015,Indian,0.25,1,False
Aditya Tare,Wicket Keeper,16000000,Mumbai Indians,2014,Indian,1.6,4,True
Aditya Tare,Wicket Keeper,12000000,Sunrisers Hyderabad,2016,Indian,1.2,4,True
Aditya Tare,Wicket Keeper,2500000,Delhi Daredevils,2017,Indian,0.25,4,True
Aditya Tare,Wicket Keeper,2000000,Mumbai Indians,2018,Indian,0.2,4,True
Agnivesh Ayachi,All-Rounder,2000000,Kings XI Punjab,2019,Indian,0.2,1,False
Aiden Blizzard,Batsman,3000000,Mumbai Indians,2015,Overseas,0.3,1,False
Aiden Markram,Batsman,26000000,Sunrisers Hyderabad,2022,Overseas,2.6,1,False
Ajantha Mendis,Bowler,54375000,Pune Warriors India,2013,Overseas,5.4375,1,False
Ajinkya Rahane,Batsman,40000000,Rajasthan Royals,2018,Indian,4.0,2,True
Ajinkya Rahane,Batsman,10000000,Kolkata Knight Riders,2022,Indian,1.0,2,True
Akash Deep,Bowler,2000000,Royal Challengers Bangalore,2022,Indian,0.2,1,False
Akash Singh,Bowler,2000000,Rajasthan Royals,2020,Indian,0.2,2,True
Akash Singh,Bowler,2000000,Rajasthan Royals,2021,Indian,0.2,2,True
Akhil Arvind Herwadkar,All-Rounder,1000000,Delhi Daredevils,2016,Indian,0.1,1,False
Akila Dananjaya,All-Rounder,1500000,Chennai Super Kings,2013,Overseas,0.15,1,False
Akila Dhananjaya,Bowler,5000000,Mumbai Indians,2018,Overseas,0.5,1,False
Akshar Rajesh Patel,All-Rounder,7500000,Kings XI Punjab,2014,Indian,0.75,1,False
Akshay Karnewar,All-Rounder,1000000,Royal Challengers Bangalore,2016,Indian,0.1,1,False
Akshay Wakhare,Bowler,1000000,Mumbai Indians,2015,Indian,0.1,1,False
Akshdeep Nath,All-Rounder,1000000,Gujarat Lions,2016,Indian,0.1,4,True
Akshdeep Nath,All-Rounder,1000000,Gujarat Lions,2017,Indian,0.1,4,True
Akshdeep Nath,All-Rounder,10000000,Kings XI Punjab,2018,Indian,1.0,4,True
Akshdeep Nath,All-Rounder,36000000,Royal Challengers Bangalore,2019,Indian,3.6,4,True
Albie Morkel,All-Rounder,24000000,Royal Challengers Bangalore,2014,Overseas,2.4,2,True
Albie Morkel,All-Rounder,3000000,Delhi Daredevils,2015,Overseas,0.3,2,True
Alex Carey,Wicket Keeper,24000000,Delhi Capitals,2020,Overseas,2.4,1,False
Alex Hales,Batsman,15000000,Kolkata Knight Riders,2022,Overseas,1.5,1,False
Alzarri Joseph,Bowler,24000000,Gujarat Titans,2022,Overseas,2.4,1,False
Aman Khan,All-Rounder,2000000,Kolkata Knight Riders,2022,Indian,0.2,1,False
Ambati Rayudu,Wicket Keeper,22000000,Chennai Super Kings,2018,Indian,2.2,2,True
Ambati Rayudu,Wicket Keeper,67500000,Chennai Super Kings,2022,Indian,6.75,2,True
Amit Mishra,Bowler,1000000,Rajasthan Royals,2014,Indian,0.1,5,True
Amit Mishra,Bowler,47500000,Sunrisers Hyderabad,2014,Indian,4.75,5,True
Amit Mishra,Bowler,35000000,Delhi Daredevils,2015,Indian,3.5,5,True
Amit Mishra,Bowler,1000000,Gujarat Lions,2016,Indian,0.1,5,True
Amit Mishra,Bowler,40000000,Delhi Daredevils,2018,Indian,4.0,5,True
Amit Paunikar,Wicket Keeper,2000000,Sunrisers Hyderabad,2014,Indian,0.2,1,False
Andre Russell,All-Rounder,6000000,Kolkata Knight Riders,2014,Overseas,0.6,1,False
Andrew Tye,Bowler,2000000,Chennai Super Kings,2015,Overseas,0.2,4,True
Andrew Tye,All-Rounder,5000000,Gujarat Lions,2016,Overseas,0.5,4,True
Andrew Tye,Bowler,72000000,Kings XI Punjab,2018,Overseas,7.2,4,True
Andrew Tye,Bowler,10000000,Rajasthan Royals,2020,Overseas,1.0,4,True
Aneeshwar Gautam,All-Rounder,2000000,Royal Challengers Bangalore,2022,Indian,0.2,1,False
Angelo Mathews,All-Rounder,75000000,Delhi Daredevils,2015,Overseas,7.5,2,True
Angelo Mathews,All-Rounder,20000000,Delhi Daredevils,2017,Overseas,2.0,2,True
Aniket Choudhary,Bowler,20000000,Royal Challengers Bangalore,2017,Indian,2.0,2,True
Aniket Choudhary,Bowler,3000000,Royal Challengers Bangalore,2018,Indian,0.3,2,True
Anirudha Ashok Joshi,All-Rounder,2000000,Royal Challengers Bangalore,2018,Indian,0.2,2,True
Anirudha Ashok Joshi,All-Rounder,2000000,Rajasthan Royals,2020,Indian,0.2,2,True
Ankeet Bawane,Batsman,1000000,Delhi Daredevils,2017,Indian,0.1,1,False
Ankit Nagendra Sharma,Bowler,1000000,Rajasthan Royals,2014,Indian,0.1,1,False
Ankit Sharma,All-Rounder,1000000,Rising Pune Supergiant,2016,Indian,0.1,2,True
Ankit Sharma,All-Rounder,2000000,Rajasthan Royals,2018,Indian,0.2,2,True
Ankit Singh Rajpoot,Bowler,15000000,Kolkata Knight Riders,2016,Indian,1.5,3,True
Ankit Singh Rajpoot,Bowler,30000000,Kings XI Punjab,2018,Indian,3.0,3,True
Ankit Singh Rajpoot,Bowler,5000000,Lucknow Super Giants,2022,Indian,0.5,3,True
Ankush Bains,Wicket Keeper,1000000,Rajasthan Royals,2014,Indian,0.1,4,True
Ankush Bains,Wicket Keeper,1000000,Chennai Super Kings,2015,Indian,0.1,4,True
Ankush Bains,Wicket Keeper,1000000,Rising Pune Supergiant,2016,Indian,0.1,4,True
Ankush Bains,Wicket Keeper,2000000,Delhi Capitals,2019,Indian,0.2,4,True
Anmolpreet Singh,Batsman,8000000,Mumbai Indians,2019,Indian,0.8,2,True
Anmolpreet Singh,Batsman,2000000,Mumbai Indians,2022,Indian,0.2,2,True
Anrich Nortje,Bowler,2000000,Kolkata Knight Riders,2019,Overseas,0.2,1,False
Ansh Patel,All-Rounder,2000000,Punjab Kings,2022,Indian,0.2,1,False
Anuj Rawat,Wicket Keeper,8000000,Rajasthan Royals,2020,Indian,0.8,2,True
Anuj Rawat,Wicket Keeper,34000000,Royal Challengers Bangalore,2022,Indian,3.4,2,True
Anukul Roy,All-Rounder,2000000,Mumbai Indians,2018,Indian,0.2,2,True
Anukul Roy,All-Rounder,2000000,Kolkata Knight Riders,2022,Indian,0.2,2,True
Anunay Singh,All-Rounder,2000000,Rajasthan Royals,2022,Indian,0.2,1,False
Anureet Singh,Bowler,2000000,Kings XI Punjab,2014,Indian,0.2,2,True
Anureet Singh,Bowler,3000000,Rajasthan Royals,2018,Indian,0.3,2,True
Apoorv Vijay Wankhade,Batsman,1000000,Mumbai Indians,2014,Indian,0.1,2,True
Apoorv Vijay Wankhade,Batsman,2000000,Kolkata Knight Riders,2018,Indian,0.2,2,True
Arjun Tendulkar,All-Rounder,2000000,Mumbai Indians,2021,Indian,0.2,2,True
Arjun Tendulkar,All-Rounder,3000000,Mumbai Indians,2022,Indian,0.3,2,True
Armaan Jaffer,Batsman,1000000,Kings XI Punjab,2016,Indian,0.1,1,False
Arshdeep Singh,Bowler,2000000,Kings XI Punjab,2019,Indian,0.2,1,False
Aryaman Vikram Birla,All-Rounder,3000000,Rajasthan Royals,2018,Indian,0.3,1,False
Aryan Juyal,Wicket Keeper,2000000,Mumbai Indians,2022,Indian,0.2,1,False
Asela Gunarathna,Batsman,3000000,Mumbai Indians,2017,Overseas,0.3,1,False
Ashish Nehra,Bowler,20000000,Chennai Super Kings,2014,Indian,2.0,2,True
Ashish Nehra,Bowler,55000000,Sunrisers Hyderabad,2016,Indian,5.5,2,True
Ashish Reddy,Bowler,2000000,Sunrisers Hyderabad,2014,Indian,0.2,1,False
Ashok Dinda,Bowler,15000000,Royal Challengers Bangalore,2014,Indian,1.5,2,True
Ashok Dinda,Bowler,5000000,Rising Pune Supergiant,2016,Indian,0.5,2,True
Ashok Sharma,Bowler,5500000,Kolkata Knight Riders,2022,Indian,0.55,1,False
Ashton Turner,All-Rounder,5000000,Rajasthan Royals,2019,Indian,0.5,1,False
Ashwin Hebbar,Batsman,2000000,Delhi Capitals,2022,Indian,0.2,1,False
Asif K M,Bowler,4000000,Chennai Super Kings,2018,Indian,0.4,1,False
Atharva Taide,All-Rounder,2000000,Punjab Kings,2022,Indian,0.2,1,False
Avesh Khan,Bowler,7000000,Delhi Daredevils,2018,Indian,0.7,2,True
Avesh Khan,Bowler,100000000,Lucknow Super Giants,2022,Indian,10.0,2,True
Axar Rajesh Patel,All-Rounder,50000000,Delhi Capitals,2019,Indian,5.0,1,False
Ayush Badoni,All-Rounder,2000000,Lucknow Super Giants,2022,Indian,0.2,1,False
B. Sai Sudharsan,All-Rounder,2000000,Gujarat Titans,2022,Indian,0.2,1,False
Baba Aparajith,Batsman,1000000,Chennai Super Kings,2014,Indian,0.1,2,True
Baba Aparajith,All-Rounder,1000000,Rising Pune Supergiant,2016,Indian,0.1,2,True
Baba Indrajith,Wicket Keeper,2000000,Kolkata Knight Riders,2022,Indian,0.2,1,False
Baltej Dhanda,Bowler,2000000,Punjab Kings,2022,Indian,0.2,1,False
Bandaru Ayyappa,Bowler,2000000,Delhi Capitals,2019,Indian,0.2,1,False
Barinder Singh Saran,Bowler,1000000,Rajasthan Royals,2015,Indian,0.1,1,False
Barinder Singh Sran,Bowler,12000000,Sunrisers Hyderabad,2016,Indian,1.2,3,True
Barinder Singh Sran,Bowler,22000000,Kings XI Punjab,2018,Indian,2.2,3,True
Barinder Singh Sran,Bowler,34000000,Mumbai Indians,2019,Indian,3.4,3,True
Basil Thampi,Bowler,8500000,Gujarat Lions,2017,Indian,0.85,3,True
Basil Thampi,Bowler,9500000,Sunrisers Hyderabad,2018,Indian,0.95,3,True
Basil Thampi,Bowler,3000000,Mumbai Indians,2022,Indian,0.3,3,True
Ben Cutting,Bowler,8000000,Rajasthan Royals,2014,Overseas,0.8,4,True
Ben Cutting,All-Rounder,5000000,Sunrisers Hyderabad,2016,Overseas,0.5,4,True
Ben Cutting,All-Rounder,22000000,Mumbai Indians,2018,Overseas,2.2,4,True
Ben Cutting,All-Rounder,7500000,Kolkata Knight Riders,2021,Overseas,0.75,4,True
Ben Dunk,Wicket Keeper,2000000,Mumbai Indians,2014,Overseas,0.2,1,False
Ben Dwarshuis,Bowler,14000000,Kings XI Punjab,2018,Overseas,1.4,1,False
Ben Hilfenhaus,Bowler,10000000,Chennai Super Kings,2014,Overseas,1.0,1,False
Ben Laughlin,Bowler,1500000,Chennai Super Kings,2013,Overseas,0.15,3,True
Ben Laughlin,Bowler,3000000,Sunrisers Hyderabad,2017,Overseas,0.3,3,True
Ben Laughlin,Bowler,5000000,Rajasthan Royals,2018,Overseas,0.5,3,True
Benjamin Stokes,All-Rounder,145000000,Rising Pune Supergiant,2017,Overseas,14.5,2,True
Benjamin Stokes,All-Rounder,125000000,Rajasthan Royals,2018,Overseas,12.5,2,True
Benny Howell,All-Rounder,4000000,Punjab Kings,2022,Overseas,0.4,1,False
Beuran Hendricks,Bowler,18000000,Kings XI Punjab,2014,Overseas,1.8,1,False
Bhanuka Rajapaksa,Batsman,5000000,Punjab Kings,2022,Overseas,0.5,1,False
Bhuvneshwar Kumar,Bowler,42500000,Sunrisers Hyderabad,2014,Overseas,4.25,2,True
Bhuvneshwar Kumar,Bowler,42000000,Sunrisers Hyderabad,2022,Indian,4.2,2,True
Billy Stanlake,Bowler,3000000,Royal Challengers Bangalore,2017,Overseas,0.3,2,True
Billy Stanlake,Batsman,5000000,Sunrisers Hyderabad,2018,Overseas,0.5,2,True
Bipul Sharma,All-Rounder,2000000,Sunrisers Hyderabad,2018,Indian,0.2,1,False
Brad Hodge,Batsman,24000000,Rajasthan Royals,2014,Overseas,2.4,1,False
Brad Hogg,Bowler,5000000,Kolkata Knight Riders,2015,Overseas,0.5,1,False
Brendan Taylor,Wicket Keeper,3000000,Sunrisers Hyderabad,2014,Overseas,0.3,1,False
Brendon McCullum,Wicket Keeper,32500000,Chennai Super Kings,2014,Overseas,3.25,2,True
Brendon McCullum,Batsman,36000000,Royal Challengers Bangalore,2018,Overseas,3.6,2,True
C Hari Nishaanth,Batsman,2000000,Chennai Super Kings,2021,Indian,0.2,1,False
C.Hari Nishaanth,Batsman,2000000,Chennai Super Kings,2022,Indian,0.2,1,False
C.M. Gautam,Wicket Keeper,2000000,Mumbai Indians,2014,Indian,0.2,2,True
C.M. Gautam,Wicket Keeper,2000000,Delhi Daredevils,2015,Indian,0.2,2,True
Cameron Delport,All-Rounder,3000000,Kolkata Knight Riders,2018,Overseas,0.3,1,False
Carlos Brathwaite,All-Rounder,42000000,Delhi Daredevils,2016,Overseas,4.2,3,True
Carlos Brathwaite,All-Rounder,20000000,Sunrisers Hyderabad,2018,Overseas,2.0,3,True
Carlos Brathwaite,All-Rounder,50000000,Kolkata Knight Riders,2019,Overseas,5.0,3,True
Chaitanya Bishnoi,All-Rounder,2000000,Chennai Super Kings,2018,Indian,0.2,1,False
Chama Milind,Bowler,1000000,Sunrisers Hyderabad,2014,Indian,0.1,3,True
Chama Milind,Bowler,1000000,Delhi Daredevils,2016,Indian,0.1,3,True
Chama Milind,Bowler,2500000,Royal Challengers Bangalore,2022,Indian,0.25,3,True
Chamika Karunaratne,All-Rounder,5000000,Kolkata Knight Riders,2022,Overseas,0.5,1,False
Chetan Sakariya,Bowler,12000000,Rajasthan Royals,2021,Indian,1.2,2,True
Chetan Sakariya,Bowler,42000000,Delhi Capitals,2022,Indian,4.2,2,True
Cheteshwar Pujara,Batsman,19000000,Kings XI Punjab,2014,Indian,1.9,2,True
Cheteshwar Pujara,Batsman,5000000,Chennai Super Kings,2021,Indian,0.5,2,True
Chirag Suri,Batsman,1000000,Gujarat Lions,2017,Indian,0.1,1,False
Chris Green,All-Rounder,2000000,Kolkata Knight Riders,2020,Overseas,0.2,1,False
Chris Jordan,All-Rounder,5000000,Sunrisers Hyderabad,2017,Overseas,0.5,4,True
Chris Jordan,All-Rounder,10000000,Sunrisers Hyderabad,2018,Overseas,1.0,4,True
Chris Jordan,All-Rounder,30000000,Kings XI Punjab,2020,Overseas,3.0,4,True
Chris Jordan,All-Rounder,36000000,Chennai Super Kings,2022,Overseas,3.6,4,True
Chris Lynn,Batsman,13000000,Kolkata Knight Riders,2014,Overseas,1.3,3,True
Chris Lynn,Batsman,96000000,Kolkata Knight Riders,2018,Overseas,9.6,3,True
Chris Lynn,Batsman,20000000,Mumbai Indians,2020,Overseas,2.0,3,True
Chris Woakes,All-Rounder,42000000,Kolkata Knight Riders,2017,Overseas,4.2,3,True
Chris Woakes,All-Rounder,74000000,Royal Challengers Bangalore,2018,Overseas,7.4,3,True
Chris Woakes,All-Rounder,15000000,Delhi Capitals,2020,Overseas,1.5,3,True
Christopher Barnwell,All-Rounder,3750000,Royal Challengers Bangalore,2013,Overseas,0.375,1,False
Christopher Gayle,Batsman,20000000,Kings XI Punjab,2018,Overseas,2.0,1,False
Christopher Morris,All-Rounder,46875000,Chennai Super Kings,2013,Overseas,4.6875,5,True
Christopher Morris,All-Rounder,14000000,Rajasthan Royals,2015,Overseas,1.4,5,True
Christopher Morris,All-Rounder,70000000,Delhi Daredevils,2016,Overseas,7.0,5,True
Christopher Morris,All-Rounder,100000000,Royal Challengers Bangalore,2020,Overseas,10.0,5,True
Christopher Morris,All-Rounder,162500000,Rajasthan Royals,2021,Overseas,16.25,5,True
Clinton McKay,Bowler,7500000,Sunrisers Hyderabad,2013,Overseas,0.75,1,False
Colin De Grandhomme,All-Rounder,22000000,Royal Challengers Bangalore,2018,Overseas,2.2,1,False
Colin Ingram,Batsman,64000000,Delhi Capitals,2019,Overseas,6.4,1,False
Colin Munro,All-Rounder,3000000,Kolkata Knight Riders,2016,Overseas,0.3,2,True
Colin Munro,All-Rounder,19000000,Delhi Daredevils,2018,Overseas,1.9,2,True
Corey Anderson,All-Rounder,45000000,Mumbai Indians,2014,Overseas,4.5,2,True
Corey Anderson,All-Rounder,10000000,Delhi Daredevils,2017,Overseas,1.0,2,True
Dale Steyn,Bowler,23000000,Gujarat Lions,2016,Overseas,2.3,2,True
Dale Steyn,Bowler,20000000,Royal Challengers Bangalore,2020,Overseas,2.0,2,True
Dan Christian,All-Rounder,48000000,Royal Challengers Bangalore,2021,Overseas,4.8,1,False
Daniel Christian,All-Rounder,7500000,Royal Challengers Bangalore,2013,Overseas,0.75,3,True
Daniel Christian,All-Rounder,10000000,Rising Pune Supergiant,2017,Overseas,1.0,3,True
Daniel Christian,All-Rounder,15000000,Delhi Daredevils,2018,Overseas,1.5,3,True
Daniel Sams,All-Rounder,26000000,Mumbai Indians,2022,Overseas,2.6,1,False
Darcy Short,All-Rounder,40000000,Rajasthan Royals,2018,Overseas,4.0,1,False
Darren Bravo,Batsman,5000000,Kolkata Knight Riders,2017,Overseas,0.5,1,False
Darren Sammy,All-Rounder,31875000,Sunrisers Hyderabad,2013,Overseas,3.1875,4,True
Darren Sammy,All-Rounder,35000000,Sunrisers Hyderabad,2014,Overseas,3.5,4,True
Darren Sammy,All-Rounder,28000000,Royal Challengers Bangalore,2015,Overseas,2.8,4,True
Darren Sammy,All-Rounder,3000000,Kings XI Punjab,2017,Overseas,0.3,4,True
Darshan Nalkande,All-Rounder,3000000,Kings XI Punjab,2019,Indian,0.3,2,True
Darshan Nalkande,All-Rounder,2000000,Gujarat Titans,2022,Indian,0.2,2,True
Daryl Mitchell,All-Rounder,7500000,Rajasthan Royals,2022,Overseas,0.75,1,False
David Miller,Batsman,30000000,Kings XI Punjab,2018,Overseas,3.0,3,True
David Miller,Batsman,7500000,Rajasthan Royals,2020,Overseas,0.75,3,True
David Miller,Batsman,30000000,Gujarat Titans,2022,Overseas,3.0,3,True
David Warner,Batsman,55000000,Sunrisers Hyderabad,2014,Overseas,5.5,2,True
David Warner,Batsman,62500000,Delhi Capitals,2022,Overseas,6.25,2,True
David Wiese,All-Rounder,28000000,Royal Challengers Bangalore,2015,Overseas,2.8,1,False
David Willey,All-Rounder,20000000,Royal Challengers Bangalore,2022,Overseas,2.0,1,False
Dawid Malan,All-Rounder,15000000,Punjab Kings,2021,Overseas,1.5,1,False
Debabrata Das,Wicket Keeper,2000000,Kolkata Knight Riders,2014,Indian,0.2,1,False
Deepak Chahar,All-Rounder,1000000,Rising Pune Supergiant,2016,Indian,0.1,3,True
Deepak Chahar,All-Rounder,8000000,Chennai Super Kings,2018,Indian,0.8,3,True
Deepak Chahar,Bowler,140000000,Chennai Super Kings,2022,Indian,14.0,3,True
Deepak Hooda,Bowler,4000000,Rajasthan Royals,2014,Indian,0.4,5,True
Deepak Hooda,All-Rounder,42000000,Sunrisers Hyderabad,2016,Indian,4.2,5,True
Deepak Hooda,All-Rounder,36000000,Sunrisers Hyderabad,2018,Indian,3.6,5,True
Deepak Hooda,All-Rounder,5000000,Kings XI Punjab,2020,Indian,0.5,5,True
Deepak Hooda,All-Rounder,57500000,Lucknow Super Giants,2022,Indian,5.75,5,True
Deepak Punia,All-Rounder,1000000,Mumbai Indians,2016,Indian,0.1,1,False
Devdutt Padikkal,Batsman,2000000,Royal Challengers Bangalore,2019,Indian,0.2,2,True
Devdutt Padikkal,Batsman,77500000,Rajasthan Royals,2022,Indian,7.75,2,True
Devon Conway,Batsman,10000000,Chennai Super Kings,2022,Overseas,1.0,1,False
Dewald Brevis,Batsman,30000000,Mumbai Indians,2022,Overseas,3.0,1,False
Dhawal Kulkarni,Bowler,11000000,Rajasthan Royals,2014,Indian,1.1,3,True
Dhawal Kulkarni,Bowler,20000000,Gujarat Lions,2016,Indian,2.0,3,True
Dhawal Kulkarni,Bowler,7500000,Rajasthan Royals,2018,Indian,0.75,3,True
Dhruv Jurel,Wicket Keeper,2000000,Rajasthan Royals,2022,Indian,0.2,1,False
Dhruv Shorey,All-Rounder,2000000,Chennai Super Kings,2018,Indian,0.2,1,False
Digvijay Deshmukh,All-Rounder,2000000,Mumbai Indians,2020,Indian,0.2,1,False
Dinesh Karthik,Wicket Keeper,125000000,Delhi Daredevils,2014,Indian,12.5,5,True
